"Name","VIP_scores"
"4-(Prop-2-en-1-yl)decahydro-8H-1,5-methanopyrido[1,2-a][1,5]diazocin-8-one",1.46455727081226
"Pyrogallol",1.46233170902464
"9-O-Methylcoumestrol",1.4603040726773
"Methylimidazoleacetic acid",1.45962382616536
"Quercetin 7-glucuronoside 3-sophoroside",1.45837680686087
"Dalpanin",1.45469941948668
"Fenitropan",1.45197320354829
"PE-NMe2(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.44499846807942
"(2S,2'S)-Pyrosaccharopine",1.44402849032517
"Minoxidil",1.44375685379355
"DG(i-18:0/0:0/20:4(5Z,8Z,11Z,13E)+=O(15))",1.44271650231976
"Anthopleurine",1.44114702105981
"N-(4-oxobutylpyrrolinium) ion",1.43841489840927
"Naproanilide",1.4374127250745
"(S)-Laudanosine",1.43327038385719
"methyl (2E,6E,10S)-11-hydroxy-3,7,11-trimethyl-10-phosphonooxydodeca-2,6-dienoate",1.4317063667392
"1-(9Z-hexadecenoyl)-2-docosanoyl-glycero-3-phosphoserine",1.42964961062769
"Perilla alcohol",1.42944338098998
"GlcA(b1-4)a-GlcNAc",1.42919971177641
"Benzoylagmatine",1.42890012762592
"8-Epiiridodial glucoside",1.42861290979184
"Pregna-5,16,20-triene-3beta,20-diol diacetate",1.42671927780167
"Thymidine",1.42261231057513
"8-Methylnaphthalene-1,2-diol",1.4220858789814
"Mahaleboside",1.42134299031913
"6-(4-Carboxy-2,6-dihydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid",1.41999211802937
"(+-)-3-Methyladipic acid",1.41834201254916
"Cholylcysteine",1.41510559085058
"Umbralisib",1.41463469864456
"Hericene C",1.41415166162277
"Leucodelphinidin 3-glucoside",1.41399807076405
"Garcinone E",1.41369956046759
